"lid","name","lat","lon","wfo","rfc","wrr","state","minor","moderate","major","date_produced","obj_or_subj","interval"
"TACN4","Assunpink Creek at Trenton","40.224167","74.749167","PHI","MARFC","Mid Atlantic Region","NJ","0.15","0.10","< 0.05","01/05/2023","obj","JFM"
"TADU1","Duchesne River near Tabiona","40.300230","110.602381","SLC","CBRFC","Upper Colorado Region","UT","<0.05","<0.05","<0.05","01/27/2023","obj","JFM"
"TAFA2","Tanana River at Fairbanks","64.792778","147.838889","PAFG","APRFC","Alaska Region","AK","0.2527","< 0.05","< 0.05","07/01/2022","obj","JAS"
"TALO2","Illinois River (AR OK) near Tahlequah","35.925833","94.922500","TSA","ABRFC","Arkansas-White-Red Region","OK","0.5527","0.3677","0.1473","01/26/2023","obj","JFM"
"TARC3","Farmington River at Tariffville","41.908283","72.759353","BOX","NERFC","New England Region","CT","< 0.05","< 0.05","< 0.05","01/23/2023","obj","JFM"
"TARN7","Tar River at Tarboro","35.894167","77.533056","RAH","SERFC","South Atlantic-Gulf Region","NC","0.3942","0.098","< 0.05","12/14/2022","obj","DJF"
"TATQ9","Tatshenshini River near Dalton Post","60.118889","137.084722","PAJK","APRFC","Alaska Region","AK","< 0.05","< 0.05","-999.0","03/01/2020","obj","MAM"
"TAYM7","South Fabius River near Taylor","39.896944","91.580278","LSX","NCRFC","Upper Mississippi Region","MO","0.21","< 0.05","< 0.05","01/27/2023","obj","JFM"
"TAZA2","Tazlina River at Richardson Hwy Bridge","62.054722","145.427778","PAFC3","APRFC","Alaska Region","AK","< 0.05","< 0.05","< 0.05","03/01/2020","obj","MAM"
"TAZT1","Clinch River above Tazewell","36.425000","83.398333","MRX","LMRFC","Tennessee Region","TN","0.15","< 0.05","< 0.05","01/24/2023","obj","JFM"
"TBBM6","Tibbee Creek near Tibbee","33.538206","88.632175","JAN","SERFC","South Atlantic-Gulf Region","MS","0.8378","0.1797","< 0.05","12/14/2022","obj","DJF"
"TBVM7","Osage River near Taberville","38.003889","93.994722","SGF","MBRFC","Missouri Region","MO","0.24","<0.05","<0.05","1/24/2023","obj","JFM"
"TCHW1","Walla Walla River near Touchet","46.027634","118.729711","PDT","NWRFC","Pacific Northwest Region","WA","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"TCLA1","Black Warrior River at Holt Lock and Dam","33.252778","87.451389","BMX","SERFC","South Atlantic-Gulf Region","AL","0.1362","< 0.05","< 0.05","12/14/2022","obj","DJF"
"TCMO2","Little River (OK) near Tecumseh","35.172574","96.931966","OUN","ABRFC","Arkansas-White-Red Region","OK","0.1487","< 0.05","< 0.05","01/26/2023","obj","JFM"
"TDGL1","Tensas River at Tendal","32.431944","91.366667","JAN","LMRFC","Lower Mississippi Region","LA","0.30","0.24","0.18","01/24/2023","obj","JFM"
"TEAI1","Teton River (ID) near St. Anthony","43.926986","111.613811","PIH","NWRFC","Pacific Northwest Region","ID","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
"TECM4","River Raisin near Tecumseh","41.943056","83.945278","DTX","NCRFC","Great Lakes Region","MI","< 0.05","< 0.05","< 0.05","01/27/2023","obj","JFM"
