id,lid,name,lat,lon,wfo,rfc,wrr,state,minor_CS_3month,moderate_CS_3month,major_CS_3month,code,date_produced,obj_or_subj_3month,interval_3month
PPBM7,PPBM7,Black River at Poplar Bluff,36.75972200,-90.38805600,PAH,LMRFC,Arkansas-White-Red Region,MO,0.38,0.13,0.05,1,2/7/2023,obj,FMA
PSPT1,PSPT1,Elk River near Prospect,35.01416700,-86.99472200,OHX,LMRFC,Tennessee Region,TN,0.13,0.05,0.05,1,2/7/2023,obj,FMA
PTTA4,PTTA4,Cache River at Patterson,35.26972200,-91.23638900,LZK,LMRFC,Lower Mississippi Region,AR,0.95,0.35,0.14,2,2/7/2023,obj,FMA
PVLL1,PVLL1,Amite River at Port Vincent,30.33250000,-90.85194400,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.42,0.13,0.05,1,2/7/2023,obj,FMA
PWDM7,PWDM7,Current River above Powder Mill,37.18550000,-91.17790000,SGF,LMRFC,Missouri Region,MO,0.47,0.06,0.05,1,2/7/2023,obj,FMA
RATM6,RATM6,Pearl River at Ratliff&#039;s Ferry,32.59416000,-89.84055000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.37,0.05,0.05,1,2/7/2023,obj,FMA
RHLL1,RHLL1,Little River of Louisiana near Rochelle,31.75416700,-92.34444400,SHV,LMRFC,Lower Mississippi Region,LA,0.95,0.23,0.07,2,2/7/2023,obj,FMA
RIGA4,RIGA4,Right Hand Chute Little River at Rivervale,35.67166700,-90.33805600,MEG,LMRFC,Lower Mississippi Region,AR,0.91,0.20,0.12,2,2/7/2023,obj,FMA
RLRV2,RLRV2,Clinch River near Richlands,37.08611100,-81.78111100,RNK,LMRFC,Tennessee Region,VA,0.14,0.05,0.05,1,2/7/2023,obj,FMA
RLTT1,RLTT1,Hatchie River at Rialto,35.63722200,-89.60944400,MEG,LMRFC,Lower Mississippi Region,TN,0.06,0.05,0.05,1,2/7/2023,obj,FMA
RNTM6,RNTM6,Tallahala Creek near Runnelstown,31.33277800,-89.11250000,MOB,LMRFC,South Atlantic-Gulf Region,MS,0.32,0.05,0.05,1,2/7/2023,obj,FMA
ROBL1,ROBL1,Tangipahoa River at Robert,30.50638900,-90.36166700,LIX,LMRFC,South Atlantic-Gulf Region,LA,0.84,0.49,0.06,2,2/7/2023,obj,FMA
ROCM6,ROCM6,Pearl River at Rockport,31.79083000,-90.14250000,JAN,LMRFC,South Atlantic-Gulf Region,MS,0.95,0.09,0.05,2,2/7/2023,obj,FMA
ROST1,ROST1,Wolf River at Rossville,35.05416700,-89.54083300,MEG,LMRFC,Lower Mississippi Region,TN,0.21,0.12,0.05,1,2/7/2023,obj,FMA
RSAM6,RSAM6,Homochitto River at Rosetta,31.32470000,-91.10940000,JAN,LMRFC,Lower Mississippi Region,MS,0.14,0.05,0.05,1,2/7/2023,obj,FMA
RVSA4,RVSA4,Eleven Point River at Ravenden Springs,36.34638900,-91.11416700,LZK,LMRFC,Arkansas-White-Red Region,AR,0.50,0.45,0.19,1,2/7/2023,obj,FMA
