lid,name,lat,lon,wfo,rfc,wrr,state,minor,moderate,major,code,date_produced,obj_or_subj,interval
SPMT2,Palo Duro Creek at Spearman,36.20222200,-101.30555600,AMA,ABRFC,Arkansas-White-Red Region,TX,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SWDO2,Cottonwood Creek (OK) near Seward,35.81366000,-97.47809700,OUN,ABRFC,Arkansas-White-Red Region,OK,0.11,0.05,0.05,1,2/20/2023,obj,FMA
SWNO2,North Canadian River near Shawnee,35.33284800,-96.96002300,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
SYRK1,Arkansas River at Syracuse,37.96666700,-101.75638900,DDC,ABRFC,Arkansas-White-Red Region,KS,0.05,0.05,0.05,1,2/20/2023,obj,FMA
TALO2,Illinois River (AR OK) near Tahlequah,35.92583300,-94.92250000,TSA,ABRFC,Arkansas-White-Red Region,OK,0.59,0.48,0.28,2,2/20/2023,obj,FMA
TCMO2,Little River (OK) near Tecumseh,35.17257400,-96.93196600,OUN,ABRFC,Arkansas-White-Red Region,OK,0.40,0.13,0.08,1,2/20/2023,obj,FMA
TGAO2,Canadian River near Taloga,36.05448600,-98.96954100,OUN,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
TIFM7,Elk River (MO) near Tiff City,36.63139000,-94.58667000,SGF,ABRFC,Arkansas-White-Red Region,MO,0.28,0.16,0.06,1,2/20/2023,obj,FMA
TLSO2,Arkansas River at Tulsa,36.14055600,-96.00611100,TSA,ABRFC,Arkansas-White-Red Region,OK,0.05,0.05,0.05,1,2/20/2023,obj,FMA
TODA4,Arkansas River at Toad Suck Lock and Dam,35.07722200,-92.53972200,LZK,ABRFC,Arkansas-White-Red Region,AR,0.20,0.11,0.05,1,2/20/2023,obj,FMA
TONO2,Salt Fork Arkansas River at Tonkawa,36.67197900,-97.30948900,OUN,ABRFC,Arkansas-White-Red Region,OK,0.21,0.13,0.05,1,2/20/2023,obj,FMA
